"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ growth efficiency tax"
"12/13/2025 20:35:09:361 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","taxrate","efficiency","mu","sigma","wealth_change?","network_change?","tax_change?","mass_simulation_speedup?","rewiring_frequency","efficiency_only_expected?","minimal_degree","tax_change_increment","stop_tick","link_creation","time_lag","quantile_fit","wealth_diff_type","wealth_generation","network_generation","link_removal","layout?","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","long_term_growth_factor","tail_exponent","total_gini","wealth_share_top10","wealth_share_top1","immobility_top20","immobility_quint2","immobility_quint3","immobility_quint4","immobility_bottom20","fraction_perceived_below_real_mean","for_more_tax","for_less_tax","fraction_below_perceived_mean","fraction_below_mean","abs_wealth_diff","log_wealth_assortativity"
"1","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0160180814869986","0.5290004596504077","0.992339553111057","0.9955377300768311","0.9543740259914866","0.865","0.7","0.66","0.725","0.9","0.907","0.833","0.167","0.842","0.98","1.829186026607315","4.5453450808762203E-4"
"4","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0077675312675656","0.5882477360770326","0.9766869497353292","0.9762879925538943","0.8024916522374015","0.885","0.735","0.67","0.675","0.855","0.885","0.821","0.179","0.83","0.94","1.8117763240568867","-2.9739403006075486E-4"
"8","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0054386159126276","0.6081141170683486","0.9734560166878958","0.9736570113529666","0.7406657359174399","0.875","0.69","0.635","0.715","0.895","0.823","0.823","0.177","0.832","0.948","1.7278256019548308","-0.009601671448984137"
"3","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.015014180069112","0.5354839478526165","0.9915251957652726","0.9936548079339321","0.9372974463250272","0.88","0.72","0.685","0.73","0.885","0.91","0.821","0.179","0.825","0.975","1.8356625235423452","4.947394743927438E-4"
"6","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0033253256805115","0.6090084702928268","0.9544685686707337","0.9496075983838888","0.5654977960569371","0.91","0.71","0.63","0.735","0.9","0.757","0.822","0.178","0.829","0.928","1.7487438267296667","0.016423472613677555"
"9","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0091541358183425","0.5235166432227895","0.9787805868862585","0.984637557201995","0.7693550375069788","0.875","0.69","0.67","0.71","0.87","0.854","0.836","0.164","0.845","0.945","1.8072190814736269","-0.012609998616808058"
"2","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0049251108307966","0.5858544971579076","0.966101369335393","0.966258844597765","0.6862657991130479","0.875","0.725","0.66","0.695","0.885","0.799","0.829","0.171","0.834","0.928","1.7749945442121533","0.00450431453714792"
"5","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0106872873507897","0.5870443233565227","0.9872131065910628","0.9879167299779931","0.8866631520091292","0.87","0.67","0.635","0.715","0.89","0.908","0.814","0.186","0.819","0.96","1.7738531936169095","-0.004041969448317463"
"11","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0098375501297951","0.5962386756133722","0.9879405660515503","0.9894804307473418","0.9003999407763486","0.86","0.71","0.685","0.725","0.89","0.882","0.818","0.182","0.831","0.972","1.7206317060312786","0.010680271036951301"
"12","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0111032035619658","0.6241792313035373","0.988556377612646","0.9897797400019215","0.8980694093518868","0.875","0.69","0.6","0.66","0.88","0.921","0.822","0.178","0.828","0.963","1.778668760034698","-0.00301507393383408"
"7","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.001301332600381","0.7076480511988164","0.9462263465872567","0.9401952953820931","0.5385825689688922","0.89","0.725","0.67","0.74","0.905","0.735","0.81","0.19","0.815","0.899","1.7797538859370337","-0.02349922898857734"
"10","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0057532717367186","0.5708389495495644","0.9784485918713899","0.979902685718672","0.8081327055778144","0.865","0.685","0.635","0.685","0.865","0.886","0.811","0.189","0.822","0.945","1.6821629284336928","0.007137464335839729"
"13","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0034300000553478","0.6513575244864116","0.9577322269705864","0.9540298668148508","0.5881193162172504","0.85","0.69","0.68","0.71","0.865","0.759","0.814","0.186","0.819","0.923","1.7175312905414475","0.004817244959765712"
"15","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0084903612225444","0.5687788113584993","0.9830144832583612","0.9838177760547131","0.8455161461568308","0.885","0.735","0.665","0.67","0.845","0.912","0.827","0.173","0.833","0.949","1.6824937805306195","-0.013223546750650572"
