"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ-dyn-efficiency"
"12/13/2025 19:53:46:632 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","mu","sigma","taxrate","efficiency","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","wealth_fraction_top [wealth] of turtles 0.1","wealth_fraction_bottom [wealth] of turtles 0.5","wealth_fraction_mid40 [wealth] of turtles","tail_exponent","immobility_top20","long_term_growth_factor"
"11","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.8148206207298918","0.7756514443741314","0.06270888795304436","0.16163966767282434","1.1889582501885743","0.685","1.0028611242177452"
"10","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6692449728507739","0.5850234713052432","0.10261382941197542","0.31236269928278176","1.1847895434838118","0.67","0.9985152825916792"
"12","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7437020497341338","0.6851567148942337","0.08059034676057347","0.2342529383451919","1.0340004315205409","0.69","1.0021224852687478"
"8","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6980148299839131","0.6185858306540163","0.09083706503356564","0.29057710431241707","1.0974848577689507","0.695","1.0013996702296488"
"7","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6942349866175379","0.6078416816761872","0.09297478239282124","0.2991835359309903","1.2525084188378621","0.695","1.0023121765938183"
"3","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7850978826268873","0.7371840317177792","0.06885528270769053","0.1939606855745304","1.0111517500584941","0.69","1.0033024511890822"
"2","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7705837037043897","0.7189516890635451","0.07474522015468127","0.20630309078177259","1.11638500612452","0.625","1.0045261601231776"
"9","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7483698997499739","0.6873787617211587","0.07624636190714142","0.23637487637170018","1.0156722799195623","0.7","1.0004781740543482"
"5","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7114467144391148","0.6301300431989283","0.08688227846248413","0.2829876783385879","1.1638351121512291","0.715","1.0031923325692536"
"1","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.710627357038778","0.635339737700478","0.08826056059354717","0.2763997017059732","1.1860481089232393","0.725","1.000772025891828"
