"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ-dyn-mu"
"12/13/2025 19:43:43:703 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","mu","sigma","taxrate","efficiency","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","wealth_fraction_top [wealth] of turtles 0.1","wealth_fraction_bottom [wealth] of turtles 0.5","wealth_fraction_mid40 [wealth] of turtles","tail_exponent","immobility_top20","long_term_growth_factor"
"1","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6750883864802779","0.6120975446486951","0.11632505169892851","0.2715774036523766","1.398662827703122","0.605","1.004127580966127"
"2","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6161583535299555","0.5289867936067657","0.1307056449007392","0.34030756149249514","1.3307660512262047","0.65","1.0022403119865955"
"5","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6110627282544039","0.5211010484877406","0.12986080806739123","0.3490381434448688","1.3377607930624351","0.67","0.9995231577694543"
"12","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.5899296360678312","0.5006226469807799","0.13936230111752126","0.360015051901697","1.412200003117499","0.67","0.9987787921969528"
"4","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.606829544448733","0.5145889692041515","0.13018950495180778","0.3552215258440411","1.391629229112895","0.625","0.9998857100889877"
"6","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6249759100864589","0.5422079720672361","0.12976317538059565","0.3280288525521684","1.4383142573874055","0.66","1.0001956069222695"
"8","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6150979228339772","0.529741454417332","0.12965799644467255","0.34060054913799553","1.36780067843796","0.69","1.002077526854525"
"3","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6364199596650857","0.5565248186333223","0.12357752491759855","0.3198976564490779","1.35464612360782","0.635","0.9989532817944601"
"9","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6447927027559694","0.5684376482759529","0.12066034714970349","0.3109020045743446","1.1845504462395768","0.625","1.002339783938757"
"11","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.617628219065306","0.5207412029503338","0.12460726401904665","0.3546515330306198","1.3721696405867099","0.64","1.0026276337933107"
"10","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6614516490097504","0.5843965737203768","0.11470449319984403","0.3008989330797782","1.39773163989994","0.635","1.0017522518209188"
"7","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6182243001510028","0.5276964550647778","0.1302794105333929","0.3420241344018286","1.6067651756046482","0.615","1.001511174819217"
"13","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6060472402132904","0.520408212241758","0.13481982979091922","0.3447719579673235","1.2824327549286667","0.635","1.0011489931464979"
"17","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.5911120161596821","0.5024133006046779","0.14040353167665975","0.3571831677186626","1.320082028173237","0.67","1.0005148346218395"
"16","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6322877168011554","0.5541653678242743","0.12518814243355786","0.32064648974216725","1.2716200765639603","0.68","0.9995983603718875"
"14","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.5932287445024427","0.4951420981851743","0.1361872549417775","0.3686706468730499","1.514274403779039","0.675","0.998270247032732"
"15","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6555658597747853","0.5823539513374347","0.11683625685773981","0.30080979180482575","1.2629167024610972","0.68","1.0017415431228547"
"18","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6693657649224978","0.6022982784819402","0.11614516705697597","0.2815565544610845","1.525620113167792","0.645","1.0022125732912819"
"23","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6568848314307465","0.5799777314596631","0.11522101908822484","0.3048012494521123","1.2908892657692939","0.69","1.000784999117851"
"24","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6625792573459632","0.5964881523915525","0.11888001051895405","0.28463183708949197","1.2834348702297504","0.65","1.0015184365032634"
"20","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6424807136308164","0.5695199451552133","0.12202192871170023","0.30845812613308726","1.2543116751460703","0.655","0.999212276448941"
"22","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6567614558555319","0.572337959601233","0.11552219024569839","0.3121398501530682","1.5634753078250483","0.67","0.9999342457397211"
"21","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6989800606337848","0.642785443659971","0.10597297436111744","0.25124158197891244","1.1876611652954254","0.65","1.0029787152543048"
"19","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6247198570921324","0.536903421496677","0.12611490544078516","0.33698167306253723","1.457651077862487","0.64","1.000876948095395"
"25","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.5960959697609942","0.4938235839137864","0.13040025459569288","0.37577616149051934","1.441412487481709","0.65","0.9988489137211425"
"26","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.5885350820547122","0.4925640173784799","0.13826474207864356","0.3691712405428765","1.4695098545650762","0.605","0.9991359633893653"
"28","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.5797833040741469","0.48101905493360536","0.1420699463047699","0.37691099876162476","1.5557749704148882","0.64","0.998038401473666"
"27","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7396605769889579","0.6889006084341025","0.09221827785814658","0.21888111370775298","1.378124801609198","0.635","1.0044182473831018"
"29","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.5730408765631607","0.4721132843012482","0.14376537663481762","0.3841213390639333","1.498960541944454","0.59","1.0006285443520553"
"35","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6352324219778687","0.5482873116191129","0.12292167761857677","0.3287910107623117","1.4658568613764107","0.635","1.0020257554195524"
"34","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6300029022130476","0.542561241205832","0.12500943575918658","0.33242932303497985","1.505951053137415","0.66","1.0033575656426557"
"33","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6324132654282237","0.5452872385532772","0.12226131194789779","0.3324514494988253","1.3391675444457094","0.655","0.9980860484073538"
"32","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6685339952708229","0.5908074245437949","0.1106385333965873","0.2985540420596163","1.3673888214397805","0.67","1.0012865131820614"
"30","0.002","0.25","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6066768560293416","0.5116250081984044","0.1310390445323055","0.3573359472692895","1.4071289750919587","0.6","1.0033038692817433"
