"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ-dyn-sigma"
"12/13/2025 19:32:11:507 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","mu","sigma","taxrate","efficiency","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","wealth_fraction_top [wealth] of turtles 0.1","wealth_fraction_bottom [wealth] of turtles 0.5","wealth_fraction_mid40 [wealth] of turtles","tail_exponent","immobility_top20","long_term_growth_factor"
"9","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1577764097022074","0.16027116780570663","0.3891103431834311","0.45061848901086266","7.352695431263799","0.73","1.0092605151575293"
"8","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15626687392492666","0.1597608107009277","0.39036466817068305","0.44987452112839027","7.521135780667088","0.73","1.0090808675837852"
"6","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15851574425871284","0.16155977758878828","0.3894974715916908","0.44894275081952345","6.889927591431333","0.74","1.0094320332234081"
"5","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1604706469786119","0.16483142275195475","0.38869771177028134","0.4464708654777645","6.364023944588434","0.725","1.0093596911837937"
"3","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15993554315017833","0.1644938201064396","0.38832234815464783","0.44718383173891246","6.101373959174467","0.72","1.0095252233781904"
"2","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16627387747481093","0.16603256061332997","0.3834304040826355","0.4505370353040353","6.321756193516884","0.68","1.0094457484915573"
"12","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1703854198149355","0.1690661225877119","0.3814655301655718","0.4494683472467158","5.945020951515691","0.75","1.0093919351989553"
"1","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1554820226201119","0.16005772695237538","0.3915390644111628","0.4484032086364626","6.854747097947224","0.71","1.0094070898153302"
"4","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1626279923223095","0.16343707656968204","0.3864574269977279","0.450105496432589","6.7239755945706925","0.745","1.009280330942799"
"10","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16488135301852846","0.16618458615364304","0.38507615872562223","0.44873925512073226","5.912293137232199","0.685","1.0094629041190495"
