"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ-dyn-taxrate"
"12/13/2025 19:03:36:273 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","mu","sigma","taxrate","efficiency","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","wealth_fraction_top [wealth] of turtles 0.1","wealth_fraction_bottom [wealth] of turtles 0.5","wealth_fraction_mid40 [wealth] of turtles","tail_exponent","immobility_top20","long_term_growth_factor"
"2","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.785519471759133","0.7263404199679403","0.05914911427907541","0.214510465752984","0.9737918256855647","0.74","1.006812369882511"
"9","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7761069493245487","0.7090029619171565","0.06258138544376103","0.22841565263908406","1.062473669028776","0.725","1.0056911165473486"
"6","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.793626308586618","0.7357500389204188","0.05681682078761826","0.20743314029196327","0.9703321216458526","0.745","1.0067639106071873"
"7","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7723604896937319","0.7072641591919001","0.0643979363288335","0.2283379044792664","1.1051144599693485","0.72","1.0055439094366363"
"11","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.8980682567166856","0.8814972548906572","0.035609782854899664","0.08289296225444166","1.0223731475364","0.675","1.0160653328450968"
"3","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7973610946599059","0.7370837541965582","0.05645709939546715","0.20645914640797466","1.0225003898288532","0.715","1.0066110441279303"
"5","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.8579564669878041","0.8238881057739138","0.040914128335752205","0.13519776589033364","0.8739674977283565","0.685","1.0097635815748915"
"12","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7926887323461054","0.7333035472436433","0.06194547904233829","0.20475097371401788","1.1019970722390586","0.685","1.0097599234894943"
"10","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7616961918570817","0.6996327493006624","0.0666785108161235","0.2336887398832138","1.0070717614480884","0.735","1.008102240196489"
"1","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7875244851177534","0.7226428845509553","0.05649000964279131","0.22086710580625457","1.062636663213945","0.71","1.0071466050975861"
"8","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7816337197200933","0.7152994660332521","0.05954857799460182","0.22515195597214596","1.011875020072688","0.72","1.0063387760519027"
"4","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7913061429881876","0.734422163849639","0.05783354492335103","0.20774429122701035","0.948639104249879","0.71","1.0120296280074939"
"13","0.01","0.25","0.005","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.8145677381552596","0.7668458820068537","0.057541422185945164","0.17561269580720062","1.2457971810233308","0.655","1.0107874306317135"
